Tag,Count
,0
sorocaba,115
ambiente affollato,76
Tactile,58
. De referencia,57
Calle morta,57
Venezia di notte,55
scale,53
pozzi,49
testing,47
Humboldt Universität,44
Yolei,41
poblats marítims,41
machine,39
cabanyal,38
Coaabitat sguardiparzialimonditotali dallafinestra startAC atipicheedizioni,37
33Bienal,37
shop,36
history,36
prova,34
Barcarizzi,33
drinking fountain,32
Turismo,32
marciapiede,31
Yoley,31
Yolí,31
Semáforos sonoros,30
test,29
art,29
niñas,28
Vögel,26
canal grande,26
riunione,26
Pisos táteis,25
Non accesible,24
sole,24
ghetto,23
Gradini,22
Calli,22
Pasqual,22
plataforma única,22
ciottoli,22
puerto,22
water fountain,22
fondamente,22
library,21
fioriere,21
Deporte,21
Benches,21
espacio abierto,20
Japan House,19
testApi,19
apiTest,19
carnevale,19
Laramara,18
Teatro,18
Sotoportego,18
Proyecto,18
Palabras y más,18
Kunstwerke,17
inciviltà,17
MACS,16
Monumento,16
barche,16
Sensacions,16
Servizi,16
Calle chiusa,16
dijous,15
sculptures,15
Relax,15
Gra miejska,15
mare,15
furniture,15
lavori,14
Kaffeetische,14
bassorilievi,14
Paulista,14
Science Politiche,14
Szkola,13
strada,13
Uno,13
dos,13
Workshop,13
tres,13
calles,13
hotels,13
Vision Australia,13
Interiores,12
Museos,11
luci,11
silenzio,11
Aparcamiento minusvalidos,11
Memorial,11
Scalea,11
arquitectura,11
braille,10
Rumori,10
barcelona,10
vento,10
pioggia,10
Testando,9
Parque,9
mercato,9
persone,9
mappe tattili,9
binari,9
pueblos,9
colonna,9
Targa,9
Piscinas,9
descrizione,8
u-Bahn,8
Hola,8
BlindWiki,8
teste,8
Fahrrad,8
dimecres,8
porta,8
tourists,7
sampa,7
farmacia,7
Memorial da América latina,7
arte urbano,7
Arte callejero,7
ca foscari,7
leggende,7
motorini,7
Trattoria Pontini,7
camino de santiago,7
Scuola,7
archi,7
Ampel,7
Museu do Amanhã,7
hospital,7
plans,7
San Rocco,6
Demonstration,6
spiaggia,6
repostería tradicional,6
giudecca,6
gabbiani,6
Cajero automatico,6
Travel,6
Orientierung,6
Przystanek,6
Testingr,6
Voci,6
Chalé francês,6
tranquillità,6
sportello,6
Casa Modernista,6
Pedras,6
Aosta,6
pianta,6
notturno,6
Redentore,6
sede centrale,6
pizza,6
Staw,6
muralla,6
obj.casa,6
Carlos,6
padiglione catalano,6
pace,6
Verkehr,6
fehlende taktile Pflasterung,5
Upv,5
Interviews,5
pozzo,5
jugos kerns,5
shopping,5
toccare,5
rilievo,5
MAM,5
Football,5
center,5
fences,5
Semáforo sin sonido,5
eai,5
Avenida Paulista,5
Exposições,5
gondola,5
catene,5
Hospital Santa Catarina,5
Mercato del pesce,5
tabacchi,5
Verán,5
silencio,5
calma,5
Bahia,5
Krasnale,5
bambina,5
Santiago de Compostela,5
Lumpen,5
libri,5
Service,5
marmo,5
Hund,5
Casa da Troia,5
dança,5
Neugier,5
tatto,5
Estacion # yokoham#,5
legno,5
Banco,5
Amor,5
Venezia,5
Salud,5
entrance,5
Scalini,5
Fiesp,5
Domingo,4
Appetitoso,4
ponteggi,4
Cantar,4
Calor,4
Capitello,4
mobilidade,4
Bullicio,4
Curiosidade,4
view,4
Zamek,4
paisatge sonor,4
Berlinische Galerie,4
estación norte,4
Colori,4
Oranienburgerstrasse,4
MECO,4
Eco,4
palmeras,4
CO Berlin,4
Rampa,4
feira livre,4
Cortili,4
playing fields,4
WTF,4
senderisme,4
Gastronomia,4
concierto,4
pastel,4
Museumsinsel,4
Busstop,4
fermata,4
caldo de cana,4
Castelló,4
Brasil,4
Crocevia,4
giochi,4
Campo Santa Margherita,4
Toilette,4
casco vello,4
arte contemporânea,4
Büro,4
wywiad,4
scorrimano,4
Salvador,4
portico,4
sensorygarden,4
mappe,4
Imbarcaderi,4
UPC,4
minhocão,4
ratusz,4
null,4
Cão guia,4
ponti morti,4
inclusão,4
chiostro,4
tedt,4
iscrizioni,4
Vall del corb,3
beta,3
Novo servidor,3
La Roqueta,3
primavera,3
fortuny,3
santa Marta,3
entrata,3
va bé,3
fotografia,3
parada bus,3
Squero,3
pablo,3
morango,3
Parco giochi,3
Vergueiro,3
Vinyes,3
abbandono,3
Asac,3
niños correteando,3
GCM,3
Festa,3
basket,3
Descripcion,3
Kreuzung,3
Deus,3
bengala,3
exposição,3
Vorstellung,3
sombra,3
falta de acessibilidade,3
Museu do folclore,3
CORREOS,3
Vale do Anhangabau,3
divertimento,3
Antoni Abad,3
padiglione,3
Ferias,3
Postfuhramt,3
l'horta,3
foo,3
catedral,3
experience,3
Barca,3
Libreria,3
cosas raras,3
San Martín Pinario,3
vuoto,3
artigianato,3
Sesc,3
pasticceria,3
Museu,3
Barra Funda,3
Lody,3
blindwikibr,3
Freunde,3
Aaudiolibro,3
Bank pkobp rynek,3
Gelato,3
Multidirezionale,3
Barrera,3
sonora,3
São Paulo,3
Exploración del barrio,3
associação cadevi,3
ônibus,3
passaggio,3
túneles,3
People Mover,3
Alameda,3
calle stretta,3
Alex Flemming,3
Wifi,3
Mequi 1000,3
Polizei,3
courtyard,3
Affollamento,3
dorinanowill,3
Acera a ras,3
osteria,3
primer tram,3
viale,3
klub,3
Nazaret,3
presidi sanitari,3
portale,3
Jardín botánico,3
Angelito de perrita,3
Książki,3
scuole,3
Nou tag,3
fruttivendoli,3
Stelenfeld,3
laguna,3
Darsena,3
bw/EDU,3
Placki,2
navegando,2
springen,2
lixo,2
paissatge sonor,2
Piano,2
Sete,2
Spiagge,2
Cerdanya,2
testaudio,2
juegos,2
inferriata,2
Liegestühle,2
Water pump,2
Oficina,2
Óscar Freire,2
Eodoviaria,2
Compostela,2
hhome,2
cantando e encantando,2
Dworzec glowny,2
Trinquet,2
família,2
statue,2
elements urbans,2
campo da tennis,2
Carcere,2
Probeta,2
Pão de queijo,2
Tranquilidad,2
Olafur Eliasson,2
instituto magnus,2
Passerella,2
Agradecimento,2
anfassen,2
Popchoir,2
comércio ambulante,2
Isole,2
medici,2
modellino edificio,2
Síndrome de Down,2
santa lucia,2
servizio esselunga importante,2
superação,2
Moreira Salles,2
panificio,2
raspall adaptat,2
Sesc Sorocaba,2
supermercato,2
cinemas,2
ONCE,2
espectaculo,2
pilastro dissuasore,2
La primera Once de Valencia,2
Calçada,2
Guggenheim,2
divendres,2
Drum,2
Palomas,2
Decorazioni,2
Green Light,2
studenti,2
irene,2
Random,2
Máquina,2
tinglados,2
Polski Związek Niewidomych,2
Lido,2
Rua Camaragibe,2
Kiosk,2
animales,2
peregrinos,2
pizzeria,2
frari,2
árvores,2
La Serra,2
Sustentabilidade,2
mercat,2
üben,2
sueño,2
santossp,2
Picanya,2
Lluvia,2
Info generica,2
texturas,2
silence,2
Fontanna rynek,2
Rota Sorocaba,2
diversidade na Paulista,2
Natural,2
Tastmodell,2
piso tátil do lado direito,2
san polo,2
Carolina Maria,2
venetians,2
sabores,2
Tot,2
Giocattoli,2
Visão,2
Arsenale,2
verduras,2
aspettare,2
Rialto,2
segnaletica,2
segunda parte,2
poesia,2
Educacion,2
Yorelei,2
gretapower,2
Movimento,2
Plantas,2
Galway,2
Holahola,2
Kameleon,2
faces,2
documenta,2
Przejscie przez ulice,2
Horno,2
riva,2
piscina,2
andanes,2
Venezuela,2
Tosty,2
corte,2
informazioni,2
pesce,2
Voluntariado,2
Mas Fogonussa,2
pendientes,2
incivico,2
navi,2
Descrizione ambientale,2
entrevista,2
Szumiąca zagadka,2
Calle peatonal,2
aula,2
ABSV,2
Rota Blindwiki,2
Dziura w chodniku,2
NCBI,2
mirlos,2
BB9,2
Freddo,2
Utilities,2
scuola san rocco,2
Giobbe,2
buio,2
Aroma,2
ensaio,2
Ruta de les cascades,2
tradizione,2
tombini,2
Chiostri,2
vivência,2
tutorial,2
Semàfor sonor,2
buracos,2
element tàctil,2
s.Elena,2
kroki,2
Cul-de-sac,2
tavoli,2
路很小,2
Anhangabaú,2
Kirche,2
Memorial America Latina,2
attenzione scalini,2
detalles urbanos,2
Aplicativo,2
domenica,2
artesanato na Paulista,2
Bier,2
rosa,2
Arc de triomph,2
Basalto,2
stalls,2
césped,2
Pobre Juan,2
hola Antoni estamos aqui trabajando mucho I guess that clear,2
reivindicar,2
Bispo do Rosário,2
selfies,2
Rota Mam,2
San Marco,2
Rosewood,2
disaster,2
Restauro,2
app,2
sp,2
Franco,2
Moscowneversleeps,2
Bereich Lebensmittel,2
oasis,2
Amores,2
Shopping cidade São Paulo,2
arena,2
Obradoiro,2
Monopattino,2
Rota,2
Fotografias,2
Riposo,2
artista de rua,2
magia,2
Ortsbeschreibung,2
souvenir,2
Monestir de Pedralbes,2
Lagoa,2
Torres Quart,2
Partigiane,2
Olhar diferente,2
Cidade Matarazzo,2
Carolina Maria de Jesus,2
deficientevisual,2
riu,2
Center of the travelers,2
palazzi,2
Taste festival,2
église,2
Parrucca,2
information,2
violin,2
panell informatiu,2
Biedronka,2
accademia,2
Depoimento,2
Error,2
localizazzione,2
supermarkety,2
Guitarra,2
Trabajo,2
Ostello,2
Gostosuras,2
Cabina telefo,2
atenció,2
targhe,2
Piazzale Roma,2
Locali,2
paesi nordici,2
Roselene,2
Brandenburger Tor,2
faculdade Oswaldo Cruz,2
makieta,2
foresta,2
Brakprzejscia,2
spostarsi,2
Italian forum,2
Casinò,2
muntanya,2
Rekreacja,2
pintura,2
Exhibition,2
maquinaria,2
Cocas,2
prosecco,2
spritz,2
microfono,2
#,2
giostre,2
Arquitetura,2
trilha,2
fondaco tedeschi,2
Boisko,2
Edicola,2
descanso,2
Parcheggi,2
parcheggio,2
Wasserturm,2
nightinvenice,2
Museu de arte contemporânea de Sorocaba,2
Ping-pong,2
Dorina Nowill,2
#truth #coverup #Q #elites,2
Ubicació,2
Parc de l’oreneta,2
defekt,2
salablu,2
Powitanie,2
peloso,2
Parada taxi,2
soroll,2
Església de Rigolisa,2
kaczki,2
Instituto Moreira Salles,2
sinagoga,2
Pilota valenciana,2
Cajas de fruta,2
sztuczna nawierzchnia,2
voz,2
Posizione,1
Square pues te voy a decir bueno pero es que hay gente que le va a ir mejor escribir pero ahora mismo me está molestar reconociendo bien está molestar bien el cambio pero claro lo está haciendo ahora en tiempo real esto está conectado al servidor y en el t,1
defensa,1
kurve,1
Renato Alioti,1
Berlin Wall,1
biblioteca braille,1
passi,1
Deslocamento,1
Punta della Dogana,1
corte interna,1
Palestra,1
morro,1
Furio,1
Vintage shop,1
Pistas atletismo,1
Jardim suspenso,1
Catalunya,1
barandillas,1
Art Concierge,1
Dornbusch,1
missa,1
peluquerías,1
podwórko,1
sao paulo terra boa,1
blind,1
families,1
Finca roja De Valencia,1
cocô no piso tatil,1
Padiglionecentrale,1
Sobieszewo - dzień 2,1
Ascessibilidade,1
vetrina,1
merenda,1
